符合條件商品
資料日期：2026年  7月 17日
策略,	Total pool
"序號","代碼","商品","成交","漲幅%","總量","總市值(元)",月營收年增率
245	,"2025.TW","千興","11.55","-1.28","327","1994000000",57.86
246	,"2027.TW","大成鋼","40.65","-0.85","15766","105050000000",43.73
247	,"2028.TW","威致","15.45","-1.59","198","5032000000",13.07
248	,"2029.TW","盛餘","20.45","-0.97","297","6568000000",2.58
249	,"2030.TW","彰源","17.25","-3.63","860","4839000000",33.89
250	,"2031.TW","新光鋼","39.35","-2.72","895","12637000000",7.82
251	,"2032.TW","新鋼","15.8","-3.36","436","2062000000",11.99
252	,"2033.TW","佳大","14.6","-2.67","175","1178000000",-28.85
253	,"2034.TW","允強","19.6","-3.21","2013","10368000000",22.48
254	,"2035.TW","唐榮","27.15","0.18","22","9502000000",4.75
255	,"2038.TW","海光","12.65","-3.07","1049","2455000000",-19.18
256	,"2049.TW","上銀","306","-7.83","2852","108260000000",31.62
257	,"2059.TW","川湖","7890","-8.84","859","751893000000",220.52
258	,"2061.TW","風青","56.7","-10","2202","3253000000",31.46
259	,"2062.TW","橋椿","18.8","-2.34","399","3759000000",31.39
260	,"2063.TW","世鎧","24.15","0","13","1161000000",7.48
261	,"2064.TW","晉椿","12.95","-2.26","308","897000000",17.68
262	,"2065.TW","世豐","31.6","-1.86","41","2007000000",11.82
263	,"2066.TW","世德","62.6","-6.43","165","2782000000",23.53
264	,"2067.TW","嘉鋼","6.73","1.2","36","303000000",-12.95
265	,"2069.TW","運錩","18.65","0.27","499","3103000000",11.84
266	,"2070.TW","精湛","53.6","-4.96","348","2239000000",33.17
267	,"2072.TW","世紀風電","139.5","-3.46","458","26784000000",101.11
268	,"2073.TW","雄順","26.5","2.91","2","728000000",115.25
269	,"2101.TW","南港","34","-1.59","3004","24953000000",328.25
270	,"2102.TW","泰豐","18.5","-2.63","262","8756000000",-15.52
271	,"2103.TW","台橡","23.5","-4.28","8034","19404000000",40.24
272	,"2104.TW","國際中橡","10.6","-4.5","6123","10438000000",-12.41
273	,"2105.TW","正新","33.6","0.15","29398","108911000000",15.01
274	,"2106.TW","建大","18.1","-1.09","1658","17283000000",11.6
275	,"2107.TW","厚生","25.7","-1.34","401","7802000000",107.33
276	,"2108.TW","南帝","27.75","-2.8","970","13664000000",31.78
277	,"2109.TW","華豐","14.6","-1.02","109","4078000000",-8.85
278	,"2114.TW","鑫永銓","87.8","-1.68","191","6847000000",6.71
279	,"2115.TW","六暉-KY","21.7","-0.69","139","2264000000",32.81
280	,"2201.TW","裕隆","28.8","-0.35","4424","30816000000",-8.06
